Message,Id,Version,Qualifiers,Level,Task,Opcode,Keywords,RecordId,ProviderName,ProviderId,LogName,ProcessId,ThreadId,UserId,TimeCreated,ActivityId,RelatedActivityId,ContainerLog,MatchedQueryIds,Bookmark,LevelDisplayName,OpcodeDisplayName,TaskDisplayName,KeywordsDisplayNames,Properties
"Web Service has got a callback from OData framework about an error. 
Exception message = AgentId 44f239bd-2d91-11e6-b889-005056866c02 is not found in the list of registered agents.
Inner exception message = AgentId 44f239bd-2d91-11e6-b889-005056866c02 is not found in the list of registered agents.
Response status code = 404
Response content type = application/json;odata=minimalmetadata;charset=utf-8
Response written = false
Use verbose error = true",2006,2,,2,3,13,-9.22337E+18,10,Microsoft-Windows-ManagementOdataService,60b4c807-9e58-40d0-a608-9a60dffdd6b9,Microsoft-Windows-ManagementOdataService/Operational,2336,5032,S-1-5-18,6/8/2016 12:24,c7e70699-c19f-0007-b006-e7c79fc1d101,,microsoft-windows-managementodataservice/operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Error,Invocation of a command,All activites common to all requests.,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Operation manager plugin method 'InvokeAction' for resource name 'MSFT.DSCNode' failed with error messsage 'AgentId 44f239bd-2d91-11e6-b889-005056866c02 is not found in the list of registered agents.'.,4021,1,,2,3,11,-9.22337E+18,9,Microsoft-Windows-ManagementOdataService,60b4c807-9e58-40d0-a608-9a60dffdd6b9,Microsoft-Windows-ManagementOdataService/Operational,2336,5032,S-1-5-18,6/8/2016 12:24,c7e70699-c19f-0007-b006-e7c79fc1d101,,microsoft-windows-managementodataservice/operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Error,Execution of a method,All activites common to all requests.,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"Web Service has got a callback from OData framework about an error. 
Exception message = AgentId 44f239bd-2d91-11e6-b889-005056866c02 is not found in the list of registered agents.
Inner exception message = AgentId 44f239bd-2d91-11e6-b889-005056866c02 is not found in the list of registered agents.
Response status code = 404
Response content type = application/json;odata=minimalmetadata;charset=utf-8
Response written = false
Use verbose error = true",2006,2,,2,3,13,-9.22337E+18,8,Microsoft-Windows-ManagementOdataService,60b4c807-9e58-40d0-a608-9a60dffdd6b9,Microsoft-Windows-ManagementOdataService/Operational,2336,5032,S-1-5-18,6/8/2016 12:15,c7e70699-c19f-0009-b406-e7c79fc1d101,,microsoft-windows-managementodataservice/operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Error,Invocation of a command,All activites common to all requests.,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Operation manager plugin method 'InvokeAction' for resource name 'MSFT.DSCNode' failed with error messsage 'AgentId 44f239bd-2d91-11e6-b889-005056866c02 is not found in the list of registered agents.'.,4021,1,,2,3,11,-9.22337E+18,7,Microsoft-Windows-ManagementOdataService,60b4c807-9e58-40d0-a608-9a60dffdd6b9,Microsoft-Windows-ManagementOdataService/Operational,2336,5032,S-1-5-18,6/8/2016 12:15,c7e70699-c19f-0009-b406-e7c79fc1d101,,microsoft-windows-managementodataservice/operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Error,Execution of a method,All activites common to all requests.,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"Web Service has got a callback from OData framework about an error. 
Exception message = AgentId 44f239bd-2d91-11e6-b889-005056866c02 is not found in the list of registered agents.
Inner exception message = AgentId 44f239bd-2d91-11e6-b889-005056866c02 is not found in the list of registered agents.
Response status code = 404
Response content type = application/json;odata=minimalmetadata;charset=utf-8
Response written = false
Use verbose error = true",2006,2,,2,3,13,-9.22337E+18,6,Microsoft-Windows-ManagementOdataService,60b4c807-9e58-40d0-a608-9a60dffdd6b9,Microsoft-Windows-ManagementOdataService/Operational,2336,3244,S-1-5-18,6/8/2016 12:15,c7e70699-c19f-0000-9f06-e7c79fc1d101,,microsoft-windows-managementodataservice/operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Error,Invocation of a command,All activites common to all requests.,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Operation manager plugin method 'InvokeAction' for resource name 'MSFT.DSCNode' failed with error messsage 'AgentId 44f239bd-2d91-11e6-b889-005056866c02 is not found in the list of registered agents.'.,4021,1,,2,3,11,-9.22337E+18,5,Microsoft-Windows-ManagementOdataService,60b4c807-9e58-40d0-a608-9a60dffdd6b9,Microsoft-Windows-ManagementOdataService/Operational,2336,3244,S-1-5-18,6/8/2016 12:15,c7e70699-c19f-0000-9f06-e7c79fc1d101,,microsoft-windows-managementodataservice/operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Error,Execution of a method,All activites common to all requests.,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Management Odata Service started successfully.,1102,1,,4,1,10,-9.22337E+18,4,Microsoft-Windows-ManagementOdataService,60b4c807-9e58-40d0-a608-9a60dffdd6b9,Microsoft-Windows-ManagementOdataService/Operational,2336,3244,S-1-5-18,6/8/2016 12:15,c7e70699-c19f-0000-9f06-e7c79fc1d101,,microsoft-windows-managementodataservice/operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Object construction,All activities happening at system startup,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Custom authorization module Microsoft.Powershell.DesiredStateConfiguration.PullServer.Authorization loaded successfully,4002,1,,4,1,11,-9.22337E+18,3,Microsoft-Windows-ManagementOdataService,60b4c807-9e58-40d0-a608-9a60dffdd6b9,Microsoft-Windows-ManagementOdataService/Operational,2336,3244,S-1-5-18,6/8/2016 12:15,c7e70699-c19f-0000-9f06-e7c79fc1d101,,microsoft-windows-managementodataservice/operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Execution of a method,All activities happening at system startup,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Operation manager plugin 'Microsoft.Powershell.DesiredStateConfiguration.PullServer.OperationManager' loaded successfullly.,4012,1,,4,1,11,-9.22337E+18,2,Microsoft-Windows-ManagementOdataService,60b4c807-9e58-40d0-a608-9a60dffdd6b9,Microsoft-Windows-ManagementOdataService/Operational,2336,3244,S-1-5-18,6/8/2016 12:15,c7e70699-c19f-0000-9f06-e7c79fc1d101,,microsoft-windows-managementodataservice/operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Execution of a method,All activities happening at system startup,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Data Service configuration loaded successfully.,1104,1,,4,1,10,-9.22337E+18,1,Microsoft-Windows-ManagementOdataService,60b4c807-9e58-40d0-a608-9a60dffdd6b9,Microsoft-Windows-ManagementOdataService/Operational,2336,3244,S-1-5-18,6/8/2016 12:15,c7e70699-c19f-0000-9e06-e7c79fc1d101,,microsoft-windows-managementodataservice/operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Object construction,All activities happening at system startup,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
